Zip,Population,Count,Density,Region
23915,1360,1,7.3529,Central/East VA - Southside/Central
23917,2422,3,12.3865,Central/East VA - Southside/Central
23919,2306,1,4.3365,Central/East VA - Southside/Central
23920,3225,0,0.0,Central/East VA - Southside/Central
23921,2408,1,4.1528,Central/East VA - Southside/Central
23922,4197,0,0.0,Central/East VA - Southside/Central
23923,2063,2,9.6946,Central/East VA - Southside/Central
23924,5915,1,1.6906,Central/East VA - Southside/Central
23927,4809,1,2.0794,Central/East VA - Southside/Central
23930,5508,1,1.8155,Central/East VA - Southside/Central
23934,441,0,0.0,Central/East VA - Southside/Central
23936,7334,3,4.0905,Central/East VA - Southside/Central
23937,1915,1,5.2219,Central/East VA - Southside/Central
23938,295,0,0.0,Central/East VA - Southside/Central
23942,1001,3,29.97,Central/East VA - Southside/Central
23943,1066,0,0.0,Central/East VA - Southside/Central
